Title,Body (HTML),Vendor,Tags,Variant SKU,Variant Price,Image Src
Хоккей. Книга-тренер,"
Путь большинства известных хоккеистов начинался с дворовых площадок, замерзших прудов и катков в соседнем парке. Мы же предлагаем вам начать с этой книги. Издание поможет освоить правила, технические приемы, понять тактику хоккея, узнать тонкости стратегии. Предложенные упражнения разовьют силу, выносливость и смелость.",Усольцева Оксана ,"['Путешествия, автомобили, спорт', 'Спорт, самооборона', 'Виды спорта', 'Зимние виды спорта']",330517,1754,/home/vancho/Desktop/Kwork/Bukvoed/Scrapy Bukvoed/Bukvoed/results/images/330517.jpeg
Нина-девочка шестой луны кн.1,"
Никто не знает Мунни Витчер - Лунную Волшебницу, которая написала ""Девочку Шестой Луны"". Не знают - где она живет. Известно только, что у нее двенадцать кошек и две совы, которые помогают ей творить чудеса, готовить магические препараты и писать удивительные истории. <p> Лунная Волшебница считает, что каждый ребенок может стать алхимиком-волшебником, достаточно только знать тайный алфавит, которым написаны заклинания в Книге волшебства, иметь богатую фантазию, терпение и любить животных. <p> Главная героиня книг Лунной Волшебницы - девочка Нина, живет в Мадриде. Русское имя ей дал ее дедушка, Великий Маг и алхимик, который женился на испанской княгине Марии Луизе Эспасии де Ригейра и живет в Венеции. На ладони у Нины есть родимое пятнышко в форме звезды - знак великого алхимика. Именно оно сигнализирует о грозящей опасности. При загадочных обстоятельствах погибает дедушка Нины. И ее жизнь резко меняется. С помощью тайного алфавита алхимиков ей надо расшифровать записи дедушки и спасти Шестую Луну от коварного Князя зла Каркона. Для этого Нине придется превратиться в гнома, изготовить эликсир из зубов дракона, раскрыть тайну крылатого льва с площади святого Марка в Венеции, перенестись на другую планету, побывать на острове Пасхи, в Древнем Египте и на пирамидах Мексики… Их ожидают необычайные приключения! <p> Это не просто книга со множеством приключений и чудес. Одновременно она может стать для ребенка увлекательной игрой. Ведь для того, чтобы понять заклинания, написанные в книге, необходимо воспользоваться тайным алфавитом. С помощью этого алфавита можно отгадать магическую фразу, зашифрованную в книге, и… ПОЛУЧИТЬ В ПОДАРОК МАГНИТ или ДНЕВНИК АЛХИМИКА. <p> Автор нового бестселлера издательства ""Махаон"" - Муни Витчер. Это псевдоним известной итальянской криминальной журналистки Роберты Ризо. Днем Роберта - пишет о преступлениях, а ночью превращается в Лунную Волшебницу. Псевдоним и легенда о Лунной Волшебницы были созданы автором и издателями специально, чтобы отделить Роберту, которая пишет о насилии от Роберты, которая пишет сказки для детей.",Витчер М.,"['Литература для детей', 'Художественная литература', 'Фантастика']",330527,539,/home/vancho/Desktop/Kwork/Bukvoed/Scrapy Bukvoed/Bukvoed/results/images/330527.jpeg
Басни,"
В эту красочную книжку вошли известные басни И.А. Крылова.",Крылов Иван Андреевич,"['Литература для детей', 'Художественная литература', 'Проза']",330546,558,/home/vancho/Desktop/Kwork/Bukvoed/Scrapy Bukvoed/Bukvoed/results/images/330546.jpeg
Отчего и почему?,"
Современные ""почемучки"" хотят знать обо всем. Но, познавая окружающий мир, они нередко задают взрослым вопросы, на которые совсем не просто дать понятный ответ.<p> Почему в неделе семь дней?<br> Из чего состоят облака?<br> Сколько у человека костей?<br> Зачем королям корона?<br> Почему пингвины не летают?<br> Зачем деревьям листья? <p> Ответы на эти и многие другие вопросы собраны в энциклопедии ""Отчего и почему?"". Это хорошо иллюстрированное издание расскажет детям о загадках природы и древних цивилизаций, об исторических событиях и легендарных личностях, о животных, растениях и человеке. <p>Энциклопедия, написанная с юмором, живо и увлекательно, станет настольной книгой любознательного ребенка, интересующегося разными сведениями о мире, в котором он живет.",Ганери Анита ,"['Литература для детей', 'Детская научно-популярная литература', 'Универсальные детские энциклопедии и справочники']",330572,632,/home/vancho/Desktop/Kwork/Bukvoed/Scrapy Bukvoed/Bukvoed/results/images/330572.png
Сказки (ил. И. Егунова),"
В книге представлены Сказки Братьев Гримм ""Белоснежка и Алоцветик"", ""Золотой гусь"", ""Сладкая каша"", ""Хрустальный шар"" и другие. Переводчик - Плетников Григорий.",Братья Гримм ,"['Литература для детей', 'Художественная литература', 'Сказки']",330600,801,/home/vancho/Desktop/Kwork/Bukvoed/Scrapy Bukvoed/Bukvoed/results/images/330600.jpeg
Рок-н-ролл под Кремлем,"
При сносе московской гостиницы ""Интурист"" рабочие находят под полом аудиокассету с записью странного разговора и относят ее в ФСБ. Анализ показывает, что это запись вербовочной беседы, произошедшей 30 лет назад. Молодой лейтенант Евсеев ведет розыск завербованного шпиона, который переплетается с приключениями диггеров в таинственных московских подземельях, работой ЦРУ, ищущего подходы к государственным секретам России, буднями проституток-лилипутов... В конце концов Евсеев находит шпионский прибор, установленный на одном из полигонов в семидесятые годы, производит арест высокопоставленного военного... Но тот ли это человек, которого завербовали три десятилетия назад?",Корецкий Данил Аркадьевич,"['Художественная литература', 'Детективы, боевики, приключения', 'Отечественные', 'Боевик и криминал']",330685,444,/home/vancho/Desktop/Kwork/Bukvoed/Scrapy Bukvoed/Bukvoed/results/images/330685.jpeg
Рисую узоры: для детей 4-5 лет.,"
Данная книга является первой в серии изданий по обучению детей письму (вторая часть - ""Пишу буквы"", третья - ""Пишу красиво"". Упражнения, используемые в пособии, помогают развивать мелкую моторику рук, улучшают координацию движений, укрепляют руку ребенка и готовят ее к письму. Пальчиковые игры со стихотворным сопровождением способствуют развитию речи, интеллекта, творческой деятельности, вырабатывают ловкость, чувство ритма, тренируют память. Предназначено воспитателям дошкольных образовательных учреждений, гувернерам и родителям для занятий с детьми как в детском саду, так и в домашних условиях.",Егупова Валентина Александровна,"['Литература для детей', 'Дошкольное обучение, подготовка к школе', 'Общие развивающие методики']",330705,711,/home/vancho/Desktop/Kwork/Bukvoed/Scrapy Bukvoed/Bukvoed/results/images/330705.jpeg
Гэл-Мэлси в Сингапуре,"
Вторая часть приключений черного терьера Гел-Мэлси и ее друзей. В поисках священного камня, способного нарушить равновесие сил Добра и Зла, детективы едут в Сингапур, где вступают в схватку с двумя мафиозными кланами.",Медведева Ирина ,"['Художественная литература', 'Детективы, боевики, приключения', 'Отечественные']",330729,78,/home/vancho/Desktop/Kwork/Bukvoed/Scrapy Bukvoed/Bukvoed/results/images/330729.jpg
Самые великие города мира,"
Сегодня 3 миллиарда населения Земли живут в городах и населенных пунктах городского типа. В 2007 году количество городских жителей впервые превысит количество проживающих в сельской местности, а к 2030 году, по прогнозам специалистов ООН, достигнет 5 миллиардов, тогда как вне городских районов будут проживать 3,2 миллиарда человек. Крупные города существуют на Земле с древности, продолжая процветать и по сей день. Они сыграли огромную роль в развитии культуры, что нашло отражение в достижениях науки, искусства, архитектуры и индустриальном прогрессе. Однако только в течение последних 50 лет города буквально определяют нашу повседневную жизнь только недавно появились городские агломерации с населением от 20 до 30 миллионов человек.Эта книга описывает 56 из крупнейших и величайших городов мира. Некоторые из них, например Афины, Рим и Каир, очаровывали путешественников на протяжении тысячелетий. Возраст других составляет всего несколько столетий. Среди последних - Кейптаун, Сингапур, Сидней, а также Санкт-Петербург, основанный Петром Великим в начале XVIII столетия. Некоторые города занимают необъятные территории, их население постоянно и быстро растет. Другие, главным образом в Европе, насчитывают всего по несколько сот тысяч жителей величие этих городов связано с их историческим прошлым. Книга ""Самые великие города мира"" рассматривает цивилизацию через призму тех мест, которые были избраны человеком для своего проживания и в которых сформировались долговечные населенные пункты. Книга описывает историю и архитектуру этих городов, уделяя при этом значительное внимание их современной атмосфере и сегодняшнему строительству, тому пульсу, который делает город живым организмом.",Трифони Ж.,"['Искусство', 'Подарочные и миниатюрные издания', 'Искусство', 'Искусствоведение']",330742,4079,/home/vancho/Desktop/Kwork/Bukvoed/Scrapy Bukvoed/Bukvoed/results/images/330742.jpeg
"Антиуправление бизнесом, или Как не разрушить бизнес, улучшая его качество. 2-е изд., стер.... Шестаков А.Л., Маслов Д.В","
Многие умные люди в России говорят, что КАЧЕСТВО в современном бизнесе - это залог конкурентоспособности. И это правда! Вероятно, в магазине рядом с этой книгой вы увидите два-три замечательных издания о качестве, которые расскажут вам о мудрых японцах и их эффективных системах управления, о великих гуру качества, сделавших переворот в мировом менеджменте. Вполне возможно, что на полке вы также найдете какое-нибудь учебное пособие уважаемого отечественного автора о том, как важно и нужно внедрять системы менеджмента качества, чтобы добиться головокружительных успехов в бизнесе. НО... в этой книге авторы попытались отойти от уже сложившихся в России штампов и стереотипов в отношении quality management и показать свежий взгляд на проблемы качества в отечественном бизнесе. Сочетание иронического и аналитического стилей изложения подкреплено богатым практическим опытом авторов и здравым смыслом, что позволит вам взглянуть на вопросы управления качеством под новым углом и НЕ РАЗРУШИТЬ БИЗНЕС, УЛУЧШАЯ ЕГО КАЧЕСТВО. ОГЛАВЛЕНИЕПРЕДИСЛОВИЕ АВТОРОВВМЕСТО ВВЕДЕНИЯ (СКАЗКА ОБ ЭФФЕКТИВНОЙ СИСТЕМЕ УПРАВЛЕНИЯ).ГЛАВА 1. ГОСУДАРСТВЕННЫЕ СТАНДАРТЫ И КАЧЕСТВО ПРИТЧА Качество в законе ОТКРОВЕНИЕ О неизвестной стандартизации ГЛАВА 2. СНАЧАЛО БЫЛО СЛОВО, ИЛИ СТАНДАРТНЫЕ КОНСТРУКЦИИ ПРИТЧА Политика и тендер ОТКРОВЕНИЕ Размышление о шлагбаумах ГЛАВА 3. ИСОФРЕНИЯ ПРИТЧА ИСО пикчерс представляет: опасное внедрение ОТКРОВЕНИЕ ИСО 9001: 2000: иллюзии и реальность ГЛАВА 4. ПРОЦЕСНЫЙ ПОДХОД НЕ ПОДХОДИТ? ПРИТЧА Борьба с процессным подходом ОТКРОВЕНИЕ Процессы и финансы ГЛАВА 5. ФОКУСЫ С ПОТРЕБИТЕЛЕМ ПРИТЧА Явка с пуповиной ОТКРОВЕНИЕ Японский бог ГЛАВА 6. ПРИЗНАНИЕ КАЧЕСТВА И ПУТЬ К СОВЕРЕШЕНСТВУ ПРИТЧА Об успехе и его качестве ОТКРОВЕНИЕ Не все премии одинаково полезны ГЛАВА 7. БЕНЧМАРКИНГ, МАРКЕТИНГ, ИЛИ КАК ЕГО ТАМ ПРИТЧА На дне? Или особенности национального бенчмаркинга ОТКРОВЕНИЕ Стратегия перекрестного опыления ГЛАВА 8. КТО ПОСЛЕДНИЙ НА ПРИЕМ К ДОКТОРУ ДЕМИНГУ? ПРИТЧА Детективные истории ОТКРОВЕНИЕ Сместрельные болезни по Демингу и ошибки российских предприятий ВМЕСТО ЗАКЛЮЧЕНИЯ",Шестаков А.В.,"['Бизнес, экономика и право', 'Бизнес. Предпринимательство. Торговля']",330758,921,/home/vancho/Desktop/Kwork/Bukvoed/Scrapy Bukvoed/Bukvoed/results/images/330758.jpeg
